t,x,xdot,xdot_pred
5134.0,0.985,1.94e-06,3.022306156500278e-05
5135.0,0.985,2.01e-06,3.022306156500278e-05
5136.0,0.985,2.05e-06,3.022306156500278e-05
5137.0,0.985,1.93e-06,3.022306156500278e-05
5138.0,0.985,1.91e-06,3.022306156500278e-05
5139.0,0.985,1.91e-06,3.022306156500278e-05
5140.0,0.985,1.84e-06,3.022306156500278e-05
5141.0,0.985,1.66e-06,3.022306156500278e-05
5142.0,0.985,1.52e-06,3.022306156500278e-05
5143.0,0.985,1.4e-06,3.022306156500278e-05
5144.0,0.985,1.3e-06,3.022306156500278e-05
5145.0,0.985,1.23e-06,3.022306156500278e-05
5146.0,0.985,1.23e-06,3.022306156500278e-05
5147.0,0.985,1.19e-06,3.022306156500278e-05
5148.0,0.9851,1.16e-06,3.0030506786664743e-05
5149.0,0.9851,1.26e-06,3.0030506786664743e-05
5150.0,0.9851,1.3e-06,3.0030506786664743e-05
5151.0,0.9851,1.35e-06,3.0030506786664743e-05
5152.0,0.9851,1.37e-06,3.0030506786664743e-05
5153.0,0.9851,1.31e-06,3.0030506786664743e-05
5154.0,0.9851,1.26e-06,3.0030506786664743e-05
5155.0,0.9851,1.22e-06,3.0030506786664743e-05
5156.0,0.9851,1.18e-06,3.0030506786664743e-05
5157.0,0.9851,1.08e-06,3.0030506786664743e-05
5158.0,0.9851,1.05e-06,3.0030506786664743e-05
5159.0,0.9851,1.06e-06,3.0030506786664743e-05
5160.0,0.9851,1.04e-06,3.0030506786664743e-05
5161.0,0.9851,1.01e-06,3.0030506786664743e-05
5162.0,0.9851,9.8e-07,3.0030506786664743e-05
5163.0,0.9851,9.3e-07,3.0030506786664743e-05
5164.0,0.9851,8.8e-07,3.0030506786664743e-05
5165.0,0.9851,8.8e-07,3.0030506786664743e-05
5166.0,0.9851,9.4e-07,3.0030506786664743e-05
5167.0,0.9851,9.9e-07,3.0030506786664743e-05
5168.0,0.9851,9.8e-07,3.0030506786664743e-05
5169.0,0.9851,1.02e-06,3.0030506786664743e-05
5170.0,0.9851,1.02e-06,3.0030506786664743e-05
5171.0,0.9851,1.04e-06,3.0030506786664743e-05
5172.0,0.9851,1.08e-06,3.0030506786664743e-05
5173.0,0.9851,1.02e-06,3.0030506786664743e-05
5174.0,0.9851,1.01e-06,3.0030506786664743e-05
5175.0,0.9851,1e-06,3.0030506786664743e-05
5176.0,0.9851,1.01e-06,3.0030506786664743e-05
5177.0,0.9851,1.04e-06,3.0030506786664743e-05
5178.0,0.9851,1.08e-06,3.0030506786664743e-05
5179.0,0.9851,1.18e-06,3.0030506786664743e-05
5180.0,0.9851,1.29e-06,3.0030506786664743e-05
5181.0,0.9851,1.44e-06,3.0030506786664743e-05
5182.0,0.9851,1.59e-06,3.0030506786664743e-05
5183.0,0.9851,1.67e-06,3.0030506786664743e-05
5184.0,0.9851,1.74e-06,3.0030506786664743e-05
5185.0,0.9851,1.79e-06,3.0030506786664743e-05
5186.0,0.9851,1.79e-06,3.0030506786664743e-05
5187.0,0.9851,1.8e-06,3.0030506786664743e-05
5188.0,0.9851,1.81e-06,3.0030506786664743e-05
5189.0,0.9851,1.62e-06,3.0030506786664743e-05
5190.0,0.9851,1.42e-06,3.0030506786664743e-05
5191.0,0.9851,1.24e-06,3.0030506786664743e-05
5192.0,0.9851,1.14e-06,3.0030506786664743e-05
5193.0,0.9851,1.05e-06,3.0030506786664743e-05
5194.0,0.9851,9.9e-07,3.0030506786664743e-05
5195.0,0.9851,9.7e-07,3.0030506786664743e-05
5196.0,0.9851,9.7e-07,3.0030506786664743e-05
5197.0,0.9851,1.08e-06,3.0030506786664743e-05
5198.0,0.9851,1.1e-06,3.0030506786664743e-05
5199.0,0.9851,1.11e-06,3.0030506786664743e-05
5200.0,0.9851,1.15e-06,3.0030506786664743e-05
5201.0,0.9851,1.07e-06,3.0030506786664743e-05
5202.0,0.9851,1.04e-06,3.0030506786664743e-05
5203.0,0.9851,1.06e-06,3.0030506786664743e-05
5204.0,0.9851,1.09e-06,3.0030506786664743e-05
5205.0,0.9851,1.12e-06,3.0030506786664743e-05
5206.0,0.9851,1.09e-06,3.0030506786664743e-05
5207.0,0.9851,1.06e-06,3.0030506786664743e-05
5208.0,0.9851,1.01e-06,3.0030506786664743e-05
5209.0,0.9851,8.4e-07,3.0030506786664743e-05
5210.0,0.9851,7.6e-07,3.0030506786664743e-05
5211.0,0.9851,7.4e-07,3.0030506786664743e-05
5212.0,0.9851,7.1e-07,3.0030506786664743e-05
5213.0,0.9851,6.9e-07,3.0030506786664743e-05
5214.0,0.9851,7e-07,3.0030506786664743e-05
5215.0,0.9851,8.3e-07,3.0030506786664743e-05
5216.0,0.9851,7.9e-07,3.0030506786664743e-05
5217.0,0.9851,6.9e-07,3.0030506786664743e-05
5218.0,0.9851,6.3e-07,3.0030506786664743e-05
5219.0,0.9851,6e-07,3.0030506786664743e-05
5220.0,0.9851,5.5e-07,3.0030506786664743e-05
5221.0,0.9851,5.2e-07,3.0030506786664743e-05
5222.0,0.9851,5.5e-07,3.0030506786664743e-05
5223.0,0.9851,5.6e-07,3.0030506786664743e-05
5224.0,0.9851,5.6e-07,3.0030506786664743e-05
5225.0,0.9851,5.9e-07,3.0030506786664743e-05
5226.0,0.9851,7.3e-07,3.0030506786664743e-05
5227.0,0.9851,6.7e-07,3.0030506786664743e-05
5228.0,0.9851,6.3e-07,3.0030506786664743e-05
5229.0,0.9851,6.6e-07,3.0030506786664743e-05
5230.0,0.9851,7.4e-07,3.0030506786664743e-05
5231.0,0.9851,8e-07,3.0030506786664743e-05
5232.0,0.9851,8.5e-07,3.0030506786664743e-05
5233.0,0.9851,9.1e-07,3.0030506786664743e-05
5234.0,0.9851,9.4e-07,3.0030506786664743e-05
5235.0,0.9851,9.1e-07,3.0030506786664743e-05
5236.0,0.9851,9.1e-07,3.0030506786664743e-05
5237.0,0.9851,9.9e-07,3.0030506786664743e-05
5238.0,0.9851,1.1e-06,3.0030506786664743e-05
5239.0,0.9851,1.02e-06,3.0030506786664743e-05
5240.0,0.9851,9.3e-07,3.0030506786664743e-05
5241.0,0.9851,8.8e-07,3.0030506786664743e-05
5242.0,0.9851,9.4e-07,3.0030506786664743e-05
5243.0,0.9851,1.02e-06,3.0030506786664743e-05
5244.0,0.9851,1.1e-06,3.0030506786664743e-05
5245.0,0.9852,1.14e-06,2.9837880278560635e-05
